n;tiempoMedio;Externo;Interno

 5000 	 6.943233e-02 	 5000 	 12497500
 10000 	 3.013370e-01 	 10000 	 49995000
 15000 	 7.018541e-01 	 15000 	 112492500
 20000 	 1.270518e+00 	 20000 	 199990000
 25000 	 1.968449e+00 	 25000 	 312487500
 30000 	 2.863962e+00 	 30000 	 449985000
 35000 	 3.918123e+00 	 35000 	 612482500
 40000 	 5.141272e+00 	 40000 	 799980000
 45000 	 6.517442e+00 	 45000 	 1012477500
 50000 	 8.115219e+00 	 50000 	 1249975000
